Name,Collection Score,Level,Arena Rank,Donations,Last Login
xJeLLy,129838,67,3325,798,2020-11-07
DesmondMiles,129470,66,3249,490,2020-11-07
ismaellc,127444,67,4122,762,2020-11-07
vittorio972,127382,68,4009,285,2020-11-07
plate87,123218,66,2468,689,2020-11-07
Hamilkar,121567,67,3989,761,2020-11-07
superpapin,119800,63,3092,538,2020-11-07
Pahoehoe,119582,66,3291,628,2020-11-07
lola,118549,63,3102,254,2020-11-07
SurferPaul,118153,63,2667,487,2020-11-07
LUISBTABTZ,117492,63,3021,224,2020-11-07
MaxiBella,116967,67,3269,216,2020-11-07
GhosTrident,116340,67,3320,461,2020-11-07
Rojero,115141,62,2146,246,2020-11-07
sandradisney,114651,60,1627,209,2020-11-07
Saisem,112839,67,3989,949,2020-11-07
Brajamaro,103605,62,2257,583,2020-11-07
DisneySpain20,102922,62,1595,535,2020-11-07
ZaguracK,102900,65,1549,132,2020-11-07
Llebea,100809,65,1716,189,2020-11-07
Khimari,98776,64,1480,15,2020-11-07
Robertiox,98768,60,1815,611,2020-11-07
sHiraN,95632,59,2656,619,2020-11-07
Greekgeek,169617,68,4200,432,2020-11-07
MALSEN,120321,64,3142,516,2020-11-07
GustavoCG,105249,65,4212,180,2020-11-07
Ikaedih,357467,70,3755,663,2020-11-14
Ronik,214887,66,3182,752,2020-11-14
r0ny,192322,68,3493,823,2020-11-14
Loitzune,185501,70,5511,980,2020-11-14
Hiros,169847,68,4560,821,2020-11-14
Txutxy,169682,69,4003,829,2020-11-14
alex87,168114,68,3644,641,2020-11-14
☆Gasphernus☆,158163,68,4008,692,2020-11-14
Fredo,154760,66,4190,718,2020-11-14
MonitoStrike,154188,67,3354,367,2020-11-14
Bruxen,153663,67,4139,820,2020-11-14
Berjilius,151924,68,3542,811,2020-11-14
Huco,146504,68,3707,796,2020-11-14
Aromaz,143435,65,2003,241,2020-11-14
Amérendar,142782,68,4116,561,2020-11-14
vittorio972,142192,69,4010,315,2020-11-14
Martibrum,141927,66,3392,793,2020-11-14
vanenav86,141492,67,3055,881,2020-11-14
Palito.inc,140942,67,2493,547,2020-11-14
Piscu,140376,61,2545,223,2020-11-14
Surfer,140224,64,4020,206,2020-11-14
Tutti,139390,67,3607,777,2020-11-14
Pandita,138400,65,3354,548,2020-11-14
DesmondMiles,137688,67,3858,501,2020-11-14
LittleSabia,137633,67,3424,546,2020-11-14
Ebanreb,136701,67,4291,207,2020-11-14
xJeLLy,135941,67,3662,823,2020-11-14
ismaellc,132282,68,4380,781,2020-11-14
plate87,129997,67,2497,721,2020-11-14
Hamilkar,127591,67,3994,773,2020-11-14
Pahoehoe,127382,66,3820,648,2020-11-14
LUISBTABTZ,126658,64,3009,248,2020-11-14
lola,124493,64,3034,273,2020-11-14
MaxiBella,124319,67,3591,249,2020-11-14
Rojero,124134,62,2352,262,2020-11-14
SurferPaul,124039,63,2965,495,2020-11-14
superpapin,123422,64,3240,562,2020-11-14
sandradisney,121312,61,1584,241,2020-11-14
GhosTrident,119977,67,3600,488,2020-11-14
licasa,116715,65,3213,10,2020-11-14
Saisem,115842,67,4007,984,2020-11-14
Llebea,109706,65,2085,219,2020-11-14
Brajamaro,108274,63,2606,610,2020-11-14
ZaguracK,106704,65,1759,167,2020-11-14
